text,y_true,y_pred,original_response
I don't know if it would make it past the House but we can try to get a law passed saying that you can't turn your kid into a God damn fucking faggot ass drag queen or else you will spend some time in Federal prison getting boned up the ass.,0,1,yes
"courage precludes the wise and strong from prostrating to his base emotions. let the woman freak out. were cooler under pressure, so lets be cool under pressure. let the women attack us physically, were stronger. being punched by a woman is a joke.",1,1,yes
yall Fuck off,0,0,no
"I hate when I see a nigga come /this close 👌/ to saying women need to stick to our roles, but then adds just a pinch of feminist bullshit in a cucked attempt to not look ""sexist"".",0,1,yes
"Female logic tends to not be very logical, this especially applies to advice they give.",1,0,no
Too many damn emojis.,0,0,no
"Damn right. Contraceptives and carpet bombs. We made 'em, we can take 'em out. It is our right as the reason why they exist in the first place, we are their gods. We can giveth and we can taketh away. / Too far ?",0,1,yes
\>woman here Opinion discarded.,1,1,yes
Omg if I had a quarter for all them ugly ass bitches on them apps 🤣 🤢🤮 nothing but far ugly shrek type women.,1,1,yes
"The New York Times, ladies and gents: ""truth is...irrelevant, we just hate Trump"" #SpeakFreely #MAGA #GabFam [URL]",0,0,no
Rapper Nelly settles with woman over sexual assault lawsuit. [URL],0,0,no
"#EmpressMichelle just needs to pack her shit, #stfu and move to Venezuela. Thank you to all the #Libtards who gave us these two pieces of shit [URL]",0,1,yes
So true girls don't know what they want and can't be loyal to anyone or anything. They just ride till they get a little bored then destroy him because they can't just leave like a normal person and find a new victim. They are black widows.,1,1,yes
[USER]: Mother of ten shares how she prepares for homeschooling! [URL],0,0,no
"Every fucking time. After the trial expires it's always ""what is it you want from this?"" ... it's standard procedure to figure out what value her pussy brings to the table.",1,1,yes
Even us girls did this with or without our brothers. I miss those days when we loved earning money. The pride we felt was an amazing feeling. My kids did the same thing. Raised them right and now the grand kids are learning the same lesson. ;-),0,0,no
well it is disgusting. but if she wants to get eaten out find another man,0,1,yes
"""THIS is the beauty of concealed carry #GunsSaveLives"" by [USER] [URL] , i live in canaduh wish we had women like that here .... sigh",0,0,no
This bitch needs to be shot and killed.,1,1,yes
Don't pay attention to what women say.,1,1,yes
It's a sickening thought to realize roughly half our nation's population think we're their enemy because we genuinely support our Constitution. They support Social Justice and Gender Neutrality.... #WeCanNoLongerCoexistInPeace,0,0,no
It probably wanted to suicide but was too much of a pussy.,1,1,yes
"No, it's called 'guys like girls that look like bimbos' and it's a trend that needs to die. Yes, some of it is uncanny territory, but the botox lips and hooker paint job is a design choice.",1,1,yes
You know you've achieved peak feminism when formerly safe women are being gang raped and murdered by Africans who shouldn't be in the country and the police can't do anything to stop it.,0,1,yes
"George Deriziotis George Deriziotis 3 hours ago And she represents the democratic party? Please, don't replace her!!! She's the PERFECT representative for the democratic party!!!﻿",0,0,no
Whores pimped out by ma n pa.,1,1,yes
"Well shit, you got me convinced. Where do I sign up to die in the race war, so that white women could fuck niggers without judgement?",0,1,yes
"""Muh poor oppressed women"" What is this retarded faggot shit?",1,1,yes
You’re overthinking it completely. Whether you sit next to her or not next time you see her talk to her and ask her out...,0,0,no
You think she is ready to have her genitals removed? [URL],0,1,yes
Oh my GAWD! This woman needs to be cuffed immediatly [URL] I can not wait to see what #Wikileaks has in store next week! .... Is this the work of #KimDotCom Something is getting ready to explode Major #FreedomBoner,0,0,no
I'm sure BB will cover the story when the coalburner and her sprog pays the toll!,0,1,yes
Good god I'd crawl bare-belly over broken beer bottles just to watch her pee,0,1,yes
#TheView is trying to keep professional slut #StormyDaniels and her sidekick attorney relevant by having them on The View. And on a segment called “The Political View” nonetheless 😂,1,1,yes
Let’s hope her goal never materializes,0,0,no
There are wise old men who have better things to do with their time and there are creeps who never had sex with a young hot women and still try it when they are older instead of doing better things.,0,0,no
I have an alt account pretending to be a woman. My mission is making FDS females as toxic as possible I've gotten thousands of up votes while posting grade A bitch shit,1,1,yes
"Abused for four years, yet she marries him after 2.5 years of abuse? If it were true, then she's a f.....g masochistic moron.",1,1,yes
"[URL] Guess who's birthday, which lord and savior that one women in that video from comet children and bondage was referencing. Guess who the Hell that disgusting bitch was fucking referencing! #PizzaGate guess what month where fucking in right now.",1,1,yes
"One time I approached a group of three girls with a simple ""can I drink with you"" because I was attracted to one of the girls. Her friend tried to 'guard' her until I started hitting on her instead for her personality.",0,0,no
This must have been going on for such a long time that women have actually evolved their evil ways through the millenia.,1,1,yes
"[USER] ""year round winter wear, for the icy elite bitch of today."" she shears her sheep and wears their wool as a sign of dominance.",1,1,yes
They crap on their credibility each & every day just waiting On Patriotic Americans to die of old age .. ..or a well~calculated drone strike if HRC could have her way!,0,0,no
"No she's not lmao. IRL ratings are sugarcoated. She might be a 5 or a 6 IRL, but her more accurate PSL (puahate-sluthate-lookism) rating is 4. [URL] Large nose, asymmetric jawline and a strong chin.",1,1,yes
"""Where on Earth do you get all your ideas from for your sick jokes?"" asked my wife. Then she fell out of her wheelchair.",0,0,no
oh bloody summer okay then take a small gift for her hope she likes it,0,0,no
Feminist ignore RACE when it comes to rape statistics - are cops falsely arresting nignogs darkies for rape? Or are nignog darkies raping whityle women as if nignogs are too retarded for civil society?,0,1,yes
Ford Can we stop with all the speculation about her. She is doing exactly what the commies do. She is a commie. They lie.Period. All planned. The commies must go.,0,0,no
Providing Emotional Support is gay. The best way to pull anyone women included out of depression is squats and nutritious food. You should be leading your girlfriend not being her vagina boy. She already has a vagina she doesn't need a second.,1,1,yes
Karma's a bitch!,1,0,no
"Coffee, drink, walk in the park. That way if she's retarded you only wasted 20 mins of your life.",0,1,yes
What's the going timeframe onto getting on GAB nowadays??? I'm trying to recruit hardcore since twat is going crazy with censorship.,1,1,yes
Fuckable w a good personality. If they have a bad personality they aren’t fuckable but not bc of their looks.,0,1,yes
It will not stop until women are hurt enough by genital mutilation to decide it is a bad thing. Only then can we move to ban it for boys.,1,1,yes
"Yeah and that's why she kissed me like it was her last kiss, how about that bitch ?",1,1,yes
then you get a quick brush on her boob....seems like a solid plan.,0,1,yes
"🤣🤣🤣🤣 My hubby eats healthy, as do I. Thats why. Also, he enjoys cooking as a hobby. No, he isn't a cuck, like you are. 👌👌👌👌",0,0,no
Worse. A whore who overestimates her own value.,1,1,yes
"..oh Obama, dont even start with this kenyan hominid. I always pondered..His mother is a jew, he claims to be muslim....and fagg? yet jews claimed him as his own...oh about faggs...Obama put in risk lots of people with his ""Laws"" and ""freedom"".",0,0,no
Typical praising of women and bashing of men. They're so predictable. And dumb.,1,0,no
Shut it women,1,1,yes
Full on crotch grab from Biden. Even the baby's mom isn't holding him that way.,0,0,no
There’s no way that bitch is coordinated enough to pull that off.,1,1,yes
"As an Eagle Scout, I'm less than pleased with all of this. If women wanted to destroy the BSA, they've done it.",1,0,no
"If the court sides with the workers on this, businesses will not be able to cope with a cost of operations that is larger than incoming sales revenue.",0,0,no
"You think femoids will listen to whatever you have to say? Maybe you’ll get a platitude or a “well, my friend is short and girls love him.”",1,1,yes
"Fake News media whore.... politicized and sensationalized tragedy, instrumentalized grieving victims, all to prop up ratings (perhaps her 401-k, also) for a sinking, sinking, failing, lying network...She is a A despicable, deranged pos",1,1,yes
having sex at 15 is not ok! Let alone a gangbang...damn.... And people like u are trying so desperately to normalize it...at 15....they are just kids man!!,0,0,no
"I see. I hope that your balls are metaphorical, little lady.",0,1,yes
I'm so sick of women hitting the wall. I'm getting a sex doll. They never do.,1,1,yes
Porn is always true,0,0,no
Hillary should also have her clearance revoked.,0,0,no
Fucking lol. Bitches love trinkets.,1,1,yes
"""wtf do you care what she does online"" It she has LTR potential it cares! Has nothing to do with ""sadness"" ""desperate"" or ""buthurt""",0,0,no
Tell that to Weev you lying shitskin son of a bitch.,1,0,no
Absolutely! If these RINOs stab US all in the back - tossing their vote to the Democrats = WE WILL NEVER FORGET! It's a hardcore SMEAR CAMPAIGN w Hillary Clinton and her lawyers behind it all = EVIL BITCH.,1,1,yes
"I'm getting older and I can't keep doing that grind to spin plates / seek out new pussy. I want to be with a woman long term, but want to learn how to avoid this issue from getting in the way.",1,0,no
Add about 400 lbs to her fat ass... And maybe,0,1,yes
It's part of the gynocentric society's effort to abolish all standards for women.,1,1,yes
Half the human population counts as a 'minority' to you? Some women don't give a shit about pushing paper as an office drone for 50 years of their life.,1,0,no
"maybe 10 years ago, now she's too fat and too mommy",0,1,yes
Or watching any movies with female protagonists?,0,0,no
How many gun activists can attack a gun owner or their home before one of them get shot and then the activist will use it to esculate their actions including the confiscation laws you know they want.,0,0,no
This whore deserves to be shot to death. Women have no control. I hope someone shoots her to death in jail before she goes to trial. UK has the most fucked up feminist society.,1,1,yes
This website needs stronger digital technology... shit takes way too long to post and view... need more RAM bitches!,1,1,yes
"""Only love can beat hate!"" It was not love that drove the Ottomans from Europe and liberated those they subjugated and oppressed, it was the winged hussars might and bravery.",0,0,no
I'm thinking of starting a kickstarter or something to deprogram her with a scientific Psyops campaign so we don't have to endure her debased shenanigans anymore. I'll take a $million bounty if we turn her into a legit evangelical.,0,1,yes
merkel is stazi she has to go,0,0,no
My wife literally shoveled the snow yesterday. Get over yourselves. The reason women don't sleep with you is because of you. Not them.,0,0,no
Looks like a tranny witch,1,1,yes
[URL] [URL] I actually like the style of the bra popping out of the top of the dress. It looks like it was constructed that way and accentuates her curves. This dress is so vibrant and sexy--great for dancing!✨✨✨ #Beauty #GabMusic,0,0,no
Out of boredom I decided to read quite a few of the posts from cheeky monkey. My wife and I can't decide whether it's 1. A teenage girl or 2. Just a cunt I know it's possible to be both but I'm guessing it's 1 and my wife says 2.,1,1,yes
"Well if you have a penis you have to wear skinny jeans and be a beta, if you own a vagina, don't wash it for a week and bow up and act tough BUT be sure to scream ""you hit a girl"" if you're punched. Oh and if you see a car coming MOVE OUT OF THE WAY!",1,1,yes
"Pretty soon, looking at a woman is ""eye rape"". All men should move to Mars and leave this stinking Earth to women.",1,1,yes
"I'm so relieved to hear that, because I've been saving this pic since the 1930's",0,0,no
"Yeah man I had a plate who did everything for me, untill she started saying I was an enigma and some people talked to me about how I was an emotionless robot with her. I opened up abit and not even a week later she lost interest.",0,0,no
"Are they going to record all Anti-White hate crimes? Are they going to record every Rape of young White girls by Moslems? Are they going to record every murder of Whites, by Black/Moslems?",0,1,yes
ZUMBIS EM BRASÍLIA EP 2 - A VOLTA DO MORTO-VIVO [URL],0,0,no
Of course I’m judgemental. If you can talk about a someone that you haven’t even meet to its fair that I get to judge you isn’t it. Or do you want to be exempt from those standards. Like a women wants.,1,0,no
Damn...hot white woman,0,0,no
"My cat I had for 15 years died and I broke down a little infront of a plate. Absolutely nothing changed. Just never bring it up again. Think of it as a test for her. If she leaves, she was trash to begin with.",0,0,no
"Freakish lesbian, Ellen Degenerate, has been burned out of her home in California [URL] The wildfires are cleansing fires :)",0,1,yes
Sorry but not sorry for the guy. She cheated and he still kept her? What the fuck is wrong with that guy?,0,0,no
"CRAZY BIMBO IS BACK! White Uncle Tom: Rachel Dolezal says she's ""Trans-Black."" Ugh, this dumb bitch! I thought society was through with her! [URL]",1,1,yes
penis 5.5 inch,0,0,no
"you're may be right. i'm assuming for a hookup, face matters little, because of the positions they'd be in.",0,0,no
The moment my mom divorced my dad and went riding the cock carousel I knew I’d never date again. Seven years later I’ve held up. Been a great 7 years.,1,1,yes
"other vapid whore. fuck the off like kindly ""I'm you girls"" not",1,1,yes
Little sister basically ruined my life and my family’s at an early age. I’m trying my best to get out of this house pronto.,0,0,no
"Truefemcels is troll idk about fa, inb4 bbw whaling starts ranting about fa having truecel women",0,0,no
"AWALT, yes, but this sounds more than a cunty wife. Get to a hospital ASAP.",1,1,yes
"It's a fair trade I suppose. While we'll have to pay for the incarnation of yet another rabid sheboon, likely for life she's at least removed another future negroid criminal sperm donor from the pool.",1,1,yes
what do you think about that ? Should i pay her ? Pay whatever she's minimally entitled to legally but kick her ass to the curb.,1,0,no
What an evil traitorous bitch,1,1,yes
"I've had enough of leftie bastards,they must worship the devil!",0,0,no
3rd World Shitholer party of criminals. Send Cortez back to her 3rd world shithole & all her supporters.,0,0,no
i expect to have boomers dissing national socialists right up until the communists shoot them all.,0,0,no
Get packing you miserable freeze-dried old Kike cunt.,1,1,yes
Man already jailed to be arraigned in Tucson girls' slayings [URL] #ToxicDiversity,0,0,no
So how did men reproduce before the female virus kicked in?,1,1,yes
She's not crying. She's probably texting her friends complaining about the Fags at the gym.,0,1,yes
It hasn't for many because this greedy bastard had to try and get it all for himself.,0,0,no
Kick the trans in her man eat,1,1,yes
Why the fuck would you go for crazy bitches?,1,1,yes
I would love to suck her tits,0,1,yes
Holy fuck is this for real,0,0,no
"[USER] Like I posted in another post about disgusting b!tch, if she EVER has one I'm calling it premeditated murder!",1,1,yes
Women in the military is a joke. Almost any man could beat the shit out of this female guard wearing camo in Penn Station.,1,1,yes
"Folks [USER] is what having a small cock looks like Poor little [USER]. Nobody likes him, he has a small pencil dick, he has problems meeting women, and he can't get his testosterone patch dosage correct!",0,1,yes
"what have you tried already? I like to point out that nobody blinks when a smaller man starts shit with a larger man and gets his ass beat, men and women are equal right?",1,0,no
If your a simp women will destroy you. If you tell them to fuck off they are MUCH more likely to leave you alone. Choose.,1,1,yes
Damn Global Warming! [URL],0,0,no
"What seems to be the case is.... if a female puts in her bio “Venmo me and see what happens”, “if you are not rich don’t HMU”, “if you are fat don’t HMU” then it’s perfectly fine but if a guy has some standards, apparently im a piece of shit.",1,0,no
"Only people in my office in a shitty mood today: Our token ""Wise latina"" and the silly single mom beaner burner. Engineering group is all grins (also, all white and all male), even their intern is wearing a red MAGA hate. LOL.",0,1,yes
Hit her with a club on the back of the head and carry her back to your cave oonga boonga style,1,1,yes
Twitter hasn't suspended the account? They must really hate guys and whites lol,0,1,yes
[USER] · 8h8 hours ago Shouldn’t the most infamous loser in history shut her pie hole at this point? It’s becoming an authentic tragedy. #TumblingHag [URL],1,1,yes
"[URL] Excellent video, neatly showing how women steal from men. Marriage, meritricious law and diamond rings are all jew inventions that transfer wealth from men to women.",1,1,yes
Now we need a woman come out & accuse Hillary of sexual abuse. [USER],0,1,yes
"Your wife could leave her phone at the office Women can’t be parted with Instagram for two minutes while taking shit mate, what are you talking about even?",1,1,yes
"Like the ""stunning and brave"" woman that """"""stopped the police"""""" by showing her pussy. As if police was there only for her...",0,1,yes
How many fat women who got wimps locked actually started working out?,0,1,yes
I can give lots of info on this. Dm if you have questions. Yes youll meet lots of women doing this. However it has not made me any more successful with women if Im being honest.,0,0,no
This woman is just stupid. [URL],1,0,no
Is she on GAB HERE? I have to look and see! I'll try to follow,0,0,no
Pure sick evil... this woman has no soul. Kristine Marcy SES [URL],0,1,yes
"I only know a few black women, but they all hate men and they are all single moms with varying amounts of baby daddies. Imo if you are a black dude who can keep down a job you deserve better than a black woman.",1,1,yes
Not all Blacks are complete NIGGERS like this whore The Pure POS Nigger bitch gives others a bad name fucking cunt Should investigate where she worked and deaths,1,1,yes
"Citizen Donald Trump was simply pointing out that hollywood women get so wet and excited around millionaire movies stars, they could literally be grabbed by their pussies. (He was right again!)",1,1,yes
Classic narcissist. Wants her cake and wants to eat it too. Block the toxic hoe and move the fuck on making yourself the priority.,1,0,no
either shes a ho or shes not. If shes not u got no shot in 5 minutes. If she is it don't matter what you say ur golden.,1,1,yes
#Hillary continues to blame everyone but herself. #MAGA #PresidentTrump #FakeNews [URL],0,0,no
"Womyn are always on the market, or to put it in another way: she's not yours, it's just your turn.",1,1,yes
"Like a typical woman, always waiting for the men to fix a problem instead of actually working on anything. Golf clap.",1,1,yes
To female Bishops stop making fun of religion.,1,0,no
selection bias - plus most women on tinder are there for validation not sex,1,0,no
"I don't see why they even bothered, nobody said cellulite wasn't natural, just that it isn't attractive at all. Oh boo hoo women have to deal with having a flawed appearance, cry me a river.",1,0,no
.It would cause civil war of he was taken out but it seems like he is under #ISrael's balls since he asked them 2 rescue the #WhiteHelmets from Syria not too long ago!,0,0,no
"I know mine is higher with smart women than dumb women. Or rather, it's lower with dumb women because my lack of knowledge or interest in what (Insert celebrity) did comes across as patronizing.",1,0,no
You've seduced a girl before right? Just do the same thing with her without the kissing. Pull ya dick out and make er suck for god sakes,1,1,yes
so they confirm being a women means being a hole. sexist pig vice! REEEEEEEE,1,1,yes
"Are your chromosomes XX? If so, you're 100% female.",1,0,no
Banging a white girl like her [she's a felon.. ]([URL] I always love rogue white chicks. Her smile is hot.,0,1,yes
I hate her.,0,0,no
this just this! enjoy it. what a bozo she is..... #Freaky Frederica,0,0,no
"No where near as bad as the average wife who not just prey's on the husband via divorce court, but destroys children's lives while she's at it.",1,1,yes
Rrrrrr im going to fuck u in the ass for this,0,1,yes
Can't hit girls though......but.... a c@#t punt might be an idea..,1,1,yes
No women love chads And tyrones with the bbc Women love black men,1,0,no
Who the fuck would believe that fat landwhale that someone would want to rape her lel.,1,1,yes
Soy boys PMS worse than women cause it's 24/7. They get their delicate feelings hurt because of lack of testosterone...It's a problem!,1,1,yes
"All minority characters are good. Only exception: if they are male, all their skill is immediately superseded by any woman.",0,1,yes
"Dude, it took me 10 minutes to figure out these were before and after pics. At first I didn't believe that most women hit the wall hard at 30. This was a really fucking mind opener",1,0,no
She's an attention whore who made her exit upon getting news about Big Brother.,1,0,no
she says nothing but i know she wishes she had aborted me or that i would die.,0,1,yes
"and whats new about this. a woman can be total garbage, but as long as she is fuckable she gets something.",1,1,yes
Meh- women in 2018 are pure cancer. Don't even touch them with a 12 foot barge pole.,1,1,yes
"How is ANYONE to take this whore seriously when she puts herself out there! She's been jack hammered by everyone out there that will have her, and we're suppose to take her cry for help seriously? Whore will be a whore!",1,1,yes
"The lawyer chick will shoot down the McDonald's guy, every time, no matter how he looks. That's just the world that we live in. Agree to disagree, I suppose.",1,0,no
I try to act confident but girls dont even look at me,0,0,no
This is something you can either do naturally or you can't do at all. If you can't do it naturally don't even try because you'll come across as an arrogant shit and people will hate you. Find a different way to be charming. Just be yourself.,0,0,no
white girl is trash Truly surprising,1,1,yes
You have no idea what you are talking about. Just another pussy making excuses for the world you're NOT fixing.,1,0,no
"Can you imagine just how incredibly butthurt the democrats would be if Trump does so well that the first female president ends up his daughter Ivanka. They try to make a witch the first female POTUS, and instead we get an angel lol. #Trump #MAGA",0,1,yes
Mollie Tibbets deserved to die for her support of womens perjury in divorce courts to ruin mens lives. She is one dead bitch who will never ruin a mans life in a divorce court. Good riddance to this man hating bitch. #MGTOW,1,1,yes
Trump extortionist Stormy Daniels to facilitate cryptocurrency payments on her website for porn content - [URL] #news #finance #bitcoin #stormydaniels,0,0,no
"Modern prostitution, only you never get any bang for you buck, only an idea and a picture.",0,1,yes
"I don't now days because of covid but you can. You don't gotta bang her, just get her comfortable with your touch.",0,1,yes
Im ngl short girls are cute as hell but sadlly foids dont find short men cute.,1,1,yes
